Name,Form,HP,Attack,Defense,Speed,Sp Attack,Sp Defense,BST,Types,Type1,Type2,Abilities,Ability1,Ability2,HiddenAbility,Generation,Evolutions
Spearow,,40,60,30,70,31,31,262,"Normal, Flying",Normal,Flying,"Keen Eye, None, Sniper",Keen Eye,None,Sniper,1,Fearow (20)
Fearow,,65,90,65,100,61,61,442,"Normal, Flying",Normal,Flying,"Keen Eye, None, Sniper",Keen Eye,None,Sniper,1,
Ekans,,35,60,44,55,40,54,288,Poison,Poison,,"Intimidate, Shed Skin, Unnerve",Intimidate,Shed Skin,Unnerve,1,Arbok (22)
Arbok,,60,95,69,80,65,79,448,Poison,Poison,,"Intimidate, Shed Skin, Unnerve",Intimidate,Shed Skin,Unnerve,1,
Pichu,,20,40,15,60,35,35,205,Electric,Electric,,"Static, None, Lightning Rod",Static,None,Lightning Rod,1,Pikachu (Happiness)
Pichu,Spiky Eared,20,40,15,60,35,35,205,Electric,Electric,,"Static, None, Lightning Rod",Static,None,Lightning Rod,1,
Pikachu,,35,55,40,90,50,50,320,Electric,Electric,,"Static, None, Lightning Rod",Static,None,Lightning Rod,1,Raichu (Thunder Stone)
Pikachu,Cosplay,35,55,40,90,50,50,320,Electric,Electric,,"Static, None, Lightning Rod",Static,None,Lightning Rod,1,
Pikachu,Rock Star,35,55,40,90,50,50,320,Electric,Electric,,"Static, None, Lightning Rod",Static,None,Lightning Rod,1,
Pikachu,Belle,35,55,40,90,50,50,320,Electric,Electric,,"Static, None, Lightning Rod",Static,None,Lightning Rod,1,
Pikachu,Pop Star,35,55,40,90,50,50,320,Electric,Electric,,"Static, None, Lightning Rod",Static,None,Lightning Rod,1,
Pikachu,Phd,35,55,40,90,50,50,320,Electric,Electric,,"Static, None, Lightning Rod",Static,None,Lightning Rod,1,
Pikachu,Libre,35,55,40,90,50,50,320,Electric,Electric,,"Static, None, Lightning Rod",Static,None,Lightning Rod,1,
Pikachu,Original,35,55,40,90,50,50,320,Electric,Electric,,"Static, None, Lightning Rod",Static,None,Lightning Rod,1,
Pikachu,Hoenn,35,55,40,90,50,50,320,Electric,Electric,,"Static, None, Lightning Rod",Static,None,Lightning Rod,1,
Pikachu,Sinnoh,35,55,40,90,50,50,320,Electric,Electric,,"Static, None, Lightning Rod",Static,None,Lightning Rod,1,
Pikachu,Unova,35,55,40,90,50,50,320,Electric,Electric,,"Static, None, Lightning Rod",Static,None,Lightning Rod,1,
Pikachu,Kalos,35,55,40,90,50,50,320,Electric,Electric,,"Static, None, Lightning Rod",Static,None,Lightning Rod,1,
Pikachu,Alola,35,55,40,90,50,50,320,Electric,Electric,,"Static, None, Lightning Rod",Static,None,Lightning Rod,1,
Pikachu,Partner,35,55,40,90,50,50,320,Electric,Electric,,"Static, None, Lightning Rod",Static,None,Lightning Rod,1,
Pikachu,World,35,55,40,90,50,50,320,Electric,Electric,,"Static, None, Lightning Rod",Static,None,Lightning Rod,1,
Pikachu,Gmax,35,55,40,90,50,50,320,Electric,Electric,,"Static, None, Lightning Rod",Static,None,Lightning Rod,1,
Pikachu,Starter,45,80,50,120,75,60,430,Electric,Electric,,"Static, None, Lightning Rod",Static,None,Lightning Rod,1,
Raichu,,60,90,55,110,90,80,485,Electric,Electric,,"Static, None, Lightning Rod",Static,None,Lightning Rod,1,
Raichu,Alola,60,85,50,110,95,85,485,"Electric, Psychic",Electric,Psychic,"Surge Surfer, None, None",Surge Surfer,None,None,1,
Sandshrew,,50,75,85,40,20,30,300,Ground,Ground,,"Sand Veil, None, Sand Rush",Sand Veil,None,Sand Rush,1,Sandslash (22)
Sandslash,,75,100,110,65,45,55,450,Ground,Ground,,"Sand Veil, None, Sand Rush",Sand Veil,None,Sand Rush,1,
Sandshrew,Alola,50,75,90,40,10,35,300,"Ice, Steel",Ice,Steel,"Snow Cloak, None, Slush Rush",Snow Cloak,None,Slush Rush,1,Sandslash Alola (Ice Stone)
Sandslash,Alola,75,100,120,65,25,65,450,"Ice, Steel",Ice,Steel,"Snow Cloak, None, Slush Rush",Snow Cloak,None,Slush Rush,1,
Nidoran♀,Nidoran F,55,47,52,41,40,40,275,Poison,Poison,,"Poison Point, Rivalry, Hustle",Poison Point,Rivalry,Hustle,1,Nidorina (16)
Nidorina,,70,62,67,56,55,55,365,Poison,Poison,,"Poison Point, Rivalry, Hustle",Poison Point,Rivalry,Hustle,1,Nidoqueen (Moon Stone)
Nidoqueen,,90,92,87,76,75,85,505,"Poison, Ground",Poison,Ground,"Poison Point, Rivalry, Sheer Force",Poison Point,Rivalry,Sheer Force,1,
Nidoran♂,Nidoran M,46,57,40,50,40,40,273,Poison,Poison,,"Poison Point, Rivalry, Hustle",Poison Point,Rivalry,Hustle,1,Nidorino (16)
Nidorino,,61,72,57,65,55,55,365,Poison,Poison,,"Poison Point, Rivalry, Hustle",Poison Point,Rivalry,Hustle,1,Nidoking (Moon Stone)
Nidoking,,81,102,77,85,85,75,505,"Poison, Ground",Poison,Ground,"Poison Point, Rivalry, Sheer Force",Poison Point,Rivalry,Sheer Force,1,
Cleffa,,50,25,28,15,45,55,218,,,,"Cute Charm, Magic Guard, Friend Guard",Cute Charm,Magic Guard,Friend Guard,1,Clefairy (Happiness)
Clefairy,,70,45,48,35,60,65,323,,,,"Cute Charm, Magic Guard, Friend Guard",Cute Charm,Magic Guard,Friend Guard,1,Clefable (Moon Stone)
Clefable,,95,70,73,60,95,90,483,,,,"Cute Charm, Magic Guard, Unaware",Cute Charm,Magic Guard,Unaware,1,
Vulpix,,38,41,40,65,50,65,299,Fire,Fire,,"Flash Fire, None, Drought",Flash Fire,None,Drought,1,Ninetales (Fire Stone)
Ninetales,,73,76,75,100,81,100,505,Fire,Fire,,"Flash Fire, None, Drought",Flash Fire,None,Drought,1,
Vulpix,Alola,38,41,40,65,50,65,299,Ice,Ice,,"Snow Cloak, None, Snow Warning",Snow Cloak,None,Snow Warning,1,Ninetales Alola (Ice Stone)
Ninetales,Alola,73,67,75,109,81,100,505,"Ice, Fairy",Ice,Fairy,"Snow Cloak, None, Snow Warning",Snow Cloak,None,Snow Warning,1,
Igglybuff,,90,30,15,15,40,20,210,,,,"Cute Charm, Competitive, Friend Guard",Cute Charm,Competitive,Friend Guard,1,Jigglypuff (Happiness)
Jigglypuff,,115,45,20,20,45,25,270,,,,"Cute Charm, Competitive, Friend Guard",Cute Charm,Competitive,Friend Guard,1,Wigglytuff (Moon Stone)
Wigglytuff,,140,70,45,45,85,50,435,,,,"Cute Charm, Competitive, Frisk",Cute Charm,Competitive,Frisk,1,
Zubat,,40,45,35,55,30,40,245,"Poison, Flying",Poison,Flying,"Inner Focus, None, Infiltrator",Inner Focus,None,Infiltrator,1,Golbat (22)
Golbat,,75,80,70,90,65,75,455,"Poison, Flying",Poison,Flying,"Inner Focus, None, Infiltrator",Inner Focus,None,Infiltrator,1,Crobat (Happiness)
Crobat,,85,90,80,130,70,80,535,"Poison, Flying",Poison,Flying,"Inner Focus, None, Infiltrator",Inner Focus,None,Infiltrator,1,
Oddish,,45,50,55,30,75,65,320,"Grass, Poison",Grass,Poison,"Chlorophyll, None, Run Away",Chlorophyll,None,Run Away,1,Gloom (21)
Gloom,,60,65,70,40,85,75,395,"Grass, Poison",Grass,Poison,"Chlorophyll, None, Stench",Chlorophyll,None,Stench,1,"Vileplume (Leaf Stone), Bellossom (Sun Stone)"
Vileplume,,75,80,85,50,110,90,490,"Grass, Poison",Grass,Poison,"Chlorophyll, None, Effect Spore",Chlorophyll,None,Effect Spore,1,
Bellossom,,75,80,95,50,90,100,490,Grass,Grass,,"Chlorophyll, None, Healer",Chlorophyll,None,Healer,1,
Paras,,35,70,55,25,45,55,285,"Bug, Grass",Bug,Grass,"Effect Spore, Dry Skin, Damp",Effect Spore,Dry Skin,Damp,1,Parasect (24)
Parasect,,60,95,80,30,60,80,405,"Bug, Grass",Bug,Grass,"Effect Spore, Dry Skin, Damp",Effect Spore,Dry Skin,Damp,1,
Venonat,,60,55,50,45,40,55,305,"Bug, Poison",Bug,Poison,"Compound Eyes, Tinted Lens, Run Away",Compound Eyes,Tinted Lens,Run Away,1,Venomoth (31)
Venomoth,,70,65,60,90,90,75,450,"Bug, Poison",Bug,Poison,"Shield Dust, Tinted Lens, Wonder Skin",Shield Dust,Tinted Lens,Wonder Skin,1,
Diglett,,10,55,25,95,35,45,265,Ground,Ground,,"Sand Veil, Arena Trap, Sand Force",Sand Veil,Arena Trap,Sand Force,1,Dugtrio (26)
Dugtrio,,35,100,50,120,50,70,425,Ground,Ground,,"Sand Veil, Arena Trap, Sand Force",Sand Veil,Arena Trap,Sand Force,1,
Diglett,Alola,10,55,30,90,35,45,265,"Ground, Steel",Ground,Steel,"Sand Veil, Tangling Hair, Sand Force",Sand Veil,Tangling Hair,Sand Force,1,Dugtrio Alola (26)
Dugtrio,Alola,35,100,60,110,50,70,425,"Ground, Steel",Ground,Steel,"Sand Veil, Tangling Hair, Sand Force",Sand Veil,Tangling Hair,Sand Force,1,
Meowth,,40,45,35,90,40,40,290,Normal,Normal,,"Pickup, Technician, Unnerve",Pickup,Technician,Unnerve,1,Persian (28)
Persian,,65,70,60,115,65,65,440,Normal,Normal,,"Limber, Technician, Unnerve",Limber,Technician,Unnerve,1,
Meowth,Alola,40,35,35,90,50,40,290,Dark,Dark,,"Pickup, Technician, Rattled",Pickup,Technician,Rattled,1,Persian Alola (Happiness)
Persian,Alola,65,60,60,115,75,65,440,Dark,Dark,,"Fur Coat, Technician, Rattled",Fur Coat,Technician,Rattled,1,
Meowth,Galar,50,65,55,40,40,40,290,Steel,Steel,,"Pickup, Tough Claws, Unnerve",Pickup,Tough Claws,Unnerve,1,Perrserker (28)
Perrserker,,70,110,100,50,50,60,440,Steel,Steel,,"Battle Armor, Tough Claws, Steely Spirit",Battle Armor,Tough Claws,Steely Spirit,1,
Meowth,Gmax,40,45,35,90,40,40,290,Normal,Normal,,"Pickup, Technician, Unnerve",Pickup,Technician,Unnerve,1,
Psyduck,,50,52,48,55,65,50,320,Water,Water,,"Damp, Cloud Nine, Swift Swim",Damp,Cloud Nine,Swift Swim,1,Golduck (33)
Golduck,,80,82,78,85,95,80,500,Water,Water,,"Damp, Cloud Nine, Swift Swim",Damp,Cloud Nine,Swift Swim,1,
Mankey,,40,80,35,70,35,45,305,Fighting,Fighting,,"Vital Spirit, Anger Point, Defiant",Vital Spirit,Anger Point,Defiant,1,Primeape (28)
Primeape,,65,105,60,95,60,70,455,Fighting,Fighting,,"Vital Spirit, Anger Point, Defiant",Vital Spirit,Anger Point,Defiant,1,Annihilape
Annihilape,,110,115,80,90,50,90,535,"Fighting, Ghost",Fighting,Ghost,"Vital Spirit, Inner Focus, Defiant",Vital Spirit,Inner Focus,Defiant,1,
Growlithe,,55,70,45,60,70,50,350,Fire,Fire,,"Intimidate, Flash Fire, Justified",Intimidate,Flash Fire,Justified,1,Arcanine (Fire Stone)
Arcanine,,90,110,80,95,100,80,555,Fire,Fire,,"Intimidate, Flash Fire, Justified",Intimidate,Flash Fire,Justified,1,
Growlithe,Hisui,60,75,45,55,65,50,350,"Fire, Rock",Fire,Rock,"Intimidate, Flash Fire, Rock Head",Intimidate,Flash Fire,Rock Head,1,Arcanine Hisui (Fire Stone)
Arcanine,Hisui,95,115,80,90,95,80,555,"Fire, Rock",Fire,Rock,"Intimidate, Flash Fire, Rock Head",Intimidate,Flash Fire,Rock Head,1,
Poliwag,,40,50,40,90,40,40,300,Water,Water,,"Water Absorb, Damp, Swift Swim",Water Absorb,Damp,Swift Swim,1,Poliwhirl (25)
Poliwhirl,,65,65,65,90,50,50,385,Water,Water,,"Water Absorb, Damp, Swift Swim",Water Absorb,Damp,Swift Swim,1,"Poliwrath (Water Stone), Politoed, Politoed (Kings Rock)"
Poliwrath,,90,95,95,70,70,90,510,"Water, Fighting",Water,Fighting,"Water Absorb, Damp, Swift Swim",Water Absorb,Damp,Swift Swim,1,
Politoed,,90,75,75,70,90,100,500,Water,Water,,"Water Absorb, Damp, Drizzle",Water Absorb,Damp,Drizzle,1,
Abra,,25,20,15,90,105,55,310,Psychic,Psychic,,"Synchronize, Inner Focus, Magic Guard",Synchronize,Inner Focus,Magic Guard,1,Kadabra (16)
Kadabra,,40,35,30,105,120,70,400,Psychic,Psychic,,"Synchronize, Inner Focus, Magic Guard",Synchronize,Inner Focus,Magic Guard,1,"Alakazam (Trade), Alakazam (Linking Cord)"
Alakazam,,55,50,45,120,135,95,500,Psychic,Psychic,,"Synchronize, Inner Focus, Magic Guard",Synchronize,Inner Focus,Magic Guard,1,
Alakazam,Mega,55,50,65,150,175,105,600,Psychic,Psychic,,"Trace, Trace, Trace",Trace,Trace,Trace,1,
Machop,,70,80,50,35,35,35,305,Fighting,Fighting,,"Guts, No Guard, Steadfast",Guts,No Guard,Steadfast,1,Machoke (28)
Machoke,,80,100,70,45,50,60,405,Fighting,Fighting,,"Guts, No Guard, Steadfast",Guts,No Guard,Steadfast,1,"Machamp (Trade), Machamp (Linking Cord)"
Machamp,,90,130,80,55,65,85,505,Fighting,Fighting,,"Guts, No Guard, Steadfast",Guts,No Guard,Steadfast,1,
Machamp,Gmax,90,130,80,55,65,85,505,Fighting,Fighting,,"Guts, No Guard, Steadfast",Guts,No Guard,Steadfast,1,
Bellsprout,,50,75,35,40,70,30,300,"Grass, Poison",Grass,Poison,"Chlorophyll, None, Gluttony",Chlorophyll,None,Gluttony,1,Weepinbell (21)
Weepinbell,,65,90,50,55,85,45,390,"Grass, Poison",Grass,Poison,"Chlorophyll, None, Gluttony",Chlorophyll,None,Gluttony,1,Victreebel (Leaf Stone)
Victreebel,,80,105,65,70,100,70,490,"Grass, Poison",Grass,Poison,"Chlorophyll, None, Gluttony",Chlorophyll,None,Gluttony,1,
Tentacool,,40,40,35,70,50,100,335,"Water, Poison",Water,Poison,"Clear Body, Liquid Ooze, Rain Dish",Clear Body,Liquid Ooze,Rain Dish,1,Tentacruel (30)
Tentacruel,,80,70,65,100,80,120,515,"Water, Poison",Water,Poison,"Clear Body, Liquid Ooze, Rain Dish",Clear Body,Liquid Ooze,Rain Dish,1,
Geodude,,40,80,100,20,30,30,300,"Rock, Ground",Rock,Ground,"Rock Head, Sturdy, Sand Veil",Rock Head,Sturdy,Sand Veil,1,Graveler (25)
Graveler,,55,95,115,35,45,45,390,"Rock, Ground",Rock,Ground,"Rock Head, Sturdy, Sand Veil",Rock Head,Sturdy,Sand Veil,1,"Golem (Trade), Golem (Linking Cord)"
Golem,,80,120,130,45,55,65,495,"Rock, Ground",Rock,Ground,"Rock Head, Sturdy, Sand Veil",Rock Head,Sturdy,Sand Veil,1,
Geodude,Alola,40,80,100,20,30,30,300,"Rock, Electric",Rock,Electric,"Magnet Pull, Sturdy, Galvanize",Magnet Pull,Sturdy,Galvanize,1,Graveler Alola (25)
Graveler,Alola,55,95,115,35,45,45,390,"Rock, Electric",Rock,Electric,"Magnet Pull, Sturdy, Galvanize",Magnet Pull,Sturdy,Galvanize,1,"Golem Alola (Trade), Golem Alola (Linking Cord)"
Golem,Alola,80,120,130,45,55,65,495,"Rock, Electric",Rock,Electric,"Magnet Pull, Sturdy, Galvanize",Magnet Pull,Sturdy,Galvanize,1,
Ponyta,,50,85,55,90,65,65,410,Fire,Fire,,"Run Away, Flash Fire, Flame Body",Run Away,Flash Fire,Flame Body,1,Rapidash (40)
Rapidash,,65,100,70,105,80,80,500,Fire,Fire,,"Run Away, Flash Fire, Flame Body",Run Away,Flash Fire,Flame Body,1,
Ponyta,Galar,50,85,55,90,65,65,410,Psychic,Psychic,,"Run Away, Pastel Veil, Anticipation",Run Away,Pastel Veil,Anticipation,1,Rapidash Galar (40)
Rapidash,Galar,65,100,70,105,80,80,500,"Psychic, Fairy",Psychic,Fairy,"Run Away, Pastel Veil, Anticipation",Run Away,Pastel Veil,Anticipation,1,
Slowpoke,,90,65,65,15,40,40,315,"Water, Psychic",Water,Psychic,"Oblivious, Own Tempo, Regenerator",Oblivious,Own Tempo,Regenerator,1,"Slowbro (37), Slowking, Slowking (Kings Rock)"
Slowbro,,95,75,110,30,100,80,490,"Water, Psychic",Water,Psychic,"Oblivious, Own Tempo, Regenerator",Oblivious,Own Tempo,Regenerator,1,
Slowking,,95,75,80,30,100,110,490,"Water, Psychic",Water,Psychic,"Oblivious, Own Tempo, Regenerator",Oblivious,Own Tempo,Regenerator,1,
Slowbro,Mega,95,75,180,30,130,80,590,"Water, Psychic",Water,Psychic,"Shell Armor, Shell Armor, Shell Armor",Shell Armor,Shell Armor,Shell Armor,1,
Slowpoke,Galar,90,65,65,15,40,40,315,Psychic,Psychic,,"Gluttony, Own Tempo, Regenerator",Gluttony,Own Tempo,Regenerator,1,"Slowbro Galar (Galarica Cuff), Slowking Galar (Galarica Wreath)"
Slowbro,Galar,95,100,95,30,100,70,490,"Poison, Psychic",Poison,Psychic,"Quick Draw, Own Tempo, Regenerator",Quick Draw,Own Tempo,Regenerator,1,
Slowking,Galar,95,65,80,30,110,110,490,"Poison, Psychic",Poison,Psychic,"Curious Medicine, Own Tempo, Regenerator",Curious Medicine,Own Tempo,Regenerator,1,
Magnemite,,25,35,70,45,95,55,325,"Electric, Steel",Electric,Steel,"Magnet Pull, Sturdy, Analytic",Magnet Pull,Sturdy,Analytic,1,Magneton (30)
Magneton,,50,60,95,70,120,70,465,"Electric, Steel",Electric,Steel,"Magnet Pull, Sturdy, Analytic",Magnet Pull,Sturdy,Analytic,1,"Magnezone, Magnezone (Thunder Stone)"
Magnezone,,70,70,115,60,130,90,535,"Electric, Steel",Electric,Steel,"Magnet Pull, Sturdy, Analytic",Magnet Pull,Sturdy,Analytic,1,
Farfetch'd,,52,90,55,60,58,62,377,"Normal, Flying",Normal,Flying,"Keen Eye, Inner Focus, Defiant",Keen Eye,Inner Focus,Defiant,1,
Farfetch'd,Galar,52,0,55,55,58,62,282,Fighting,Fighting,,"Steadfast, None, Scrappy",Steadfast,None,Scrappy,1,Sirfetchd
Sirfetch'd,,62,135,95,65,68,82,507,Fighting,Fighting,,"Steadfast, None, Scrappy",Steadfast,None,Scrappy,1,
Doduo,,35,85,45,75,35,35,310,"Normal, Flying",Normal,Flying,"Run Away, Early Bird, Tangled Feet",Run Away,Early Bird,Tangled Feet,1,Dodrio (31)
Dodrio,,60,110,70,110,60,60,470,"Normal, Flying",Normal,Flying,"Run Away, Early Bird, Tangled Feet",Run Away,Early Bird,Tangled Feet,1,
Seel,,65,45,55,45,45,70,325,Water,Water,,"Thick Fat, Hydration, Ice Body",Thick Fat,Hydration,Ice Body,1,Dewgong (34)
Dewgong,,90,70,80,70,70,95,475,"Water, Ice",Water,Ice,"Thick Fat, Hydration, Ice Body",Thick Fat,Hydration,Ice Body,1,
Grimer,,80,80,50,25,40,50,325,Poison,Poison,,"Stench, Sticky Hold, Poison Touch",Stench,Sticky Hold,Poison Touch,1,Muk (38)
Muk,,105,105,75,50,65,100,500,Poison,Poison,,"Stench, Sticky Hold, Poison Touch",Stench,Sticky Hold,Poison Touch,1,
Grimer,Alola,80,80,50,25,40,50,325,"Poison, Dark",Poison,Dark,"Poison Touch, Gluttony, Power Of Alchemy",Poison Touch,Gluttony,Power Of Alchemy,1,Muk Alola (38)
Muk,Alola,105,105,75,50,65,100,500,"Poison, Dark",Poison,Dark,"Poison Touch, Gluttony, Power Of Alchemy",Poison Touch,Gluttony,Power Of Alchemy,1,
Shellder,,30,65,100,40,45,25,305,Water,Water,,"Shell Armor, Skill Link, Overcoat",Shell Armor,Skill Link,Overcoat,1,Cloyster (Water Stone)
Cloyster,,50,95,180,70,85,45,525,"Water, Ice",Water,Ice,"Shell Armor, Skill Link, Overcoat",Shell Armor,Skill Link,Overcoat,1,
Gastly,,30,35,30,80,100,35,310,"Ghost, Poison",Ghost,Poison,"Levitate, None, None",Levitate,None,None,1,Haunter (25)
Haunter,,45,50,45,95,115,55,405,"Ghost, Poison",Ghost,Poison,"Levitate, None, None",Levitate,None,None,1,"Gengar (Trade), Gengar (Linking Cord)"
Gengar,,60,65,60,110,130,75,500,"Ghost, Poison",Ghost,Poison,,,,,1,
Gengar,Mega,60,65,80,130,170,95,600,"Ghost, Poison",Ghost,Poison,"Shadow Tag, Shadow Tag, Shadow Tag",Shadow Tag,Shadow Tag,Shadow Tag,1,
Gengar,Gmax,60,65,60,110,130,75,500,"Ghost, Poison",Ghost,Poison,,,,,1,
Onix,,35,45,160,70,30,45,385,"Rock, Ground",Rock,Ground,"Rock Head, Sturdy, Weak Armor",Rock Head,Sturdy,Weak Armor,1,"Steelix, Steelix (Metal Coat)"
Steelix,,75,85,200,30,55,65,510,"Steel, Ground",Steel,Ground,"Rock Head, Sturdy, Sheer Force",Rock Head,Sturdy,Sheer Force,1,
Steelix,Mega,75,125,230,30,55,95,610,"Steel, Ground",Steel,Ground,"Sand Force, Sand Force, Sand Force",Sand Force,Sand Force,Sand Force,1,
Drowzee,,60,48,45,42,43,90,328,Psychic,Psychic,,"Insomnia, Forewarn, Inner Focus",Insomnia,Forewarn,Inner Focus,1,Hypno (26)
Hypno,,85,73,70,67,73,115,483,Psychic,Psychic,,"Insomnia, Forewarn, Inner Focus",Insomnia,Forewarn,Inner Focus,1,
Krabby,,30,105,90,50,25,25,325,Water,Water,,"Hyper Cutter, Shell Armor, Sheer Force",Hyper Cutter,Shell Armor,Sheer Force,1,Kingler (28)
Kingler,,55,130,115,75,50,50,475,Water,Water,,"Hyper Cutter, Shell Armor, Sheer Force",Hyper Cutter,Shell Armor,Sheer Force,1,
Kingler,Gmax,55,130,115,75,50,50,475,Water,Water,,"Hyper Cutter, Shell Armor, Sheer Force",Hyper Cutter,Shell Armor,Sheer Force,1,
Voltorb,,40,30,50,100,55,55,330,Electric,Electric,,"Soundproof, Static, Aftermath",Soundproof,Static,Aftermath,1,Electrode (30)
Electrode,,60,50,70,150,80,80,490,Electric,Electric,,"Soundproof, Static, Aftermath",Soundproof,Static,Aftermath,1,
Voltorb,Hisui,40,30,50,100,55,55,330,"Electric, Grass",Electric,Grass,"Soundproof, Static, Aftermath",Soundproof,Static,Aftermath,1,Electrode Hisui (Leaf Stone)
Electrode,Hisui,60,50,70,150,80,80,490,"Electric, Grass",Electric,Grass,"Soundproof, Static, Aftermath",Soundproof,Static,Aftermath,1,
Exeggcute,,60,40,80,40,60,45,325,"Grass, Psychic",Grass,Psychic,"Chlorophyll, None, Harvest",Chlorophyll,None,Harvest,1,Exeggutor (Leaf Stone)
Exeggutor,,95,95,85,55,125,75,530,"Grass, Psychic",Grass,Psychic,"Chlorophyll, None, Harvest",Chlorophyll,None,Harvest,1,
